MotoristaVeiculo,RiscoCarga
1517.0,100
2921.0,58
150.0,56
149.0,26
5425.0,15
184.0,10
5865.0,9
5014.0,6
5226.0,6
199.0,6
1713.0,4
5210.0,3
4964.0,3
5755.0,3
5149.0,2
5288.0,2
5229.0,1
5686.0,1
5223.0,1
147.0,1
5573.0,1
4961.0,1
6155.0,1
1903.0,1
6003.0,1
197.0,1
6123.0,1
1815.0,1
1996.0,1
4568.0,1
2370.0,1
4236.0,1
5394.0,1
4605.0,1
6025.0,0
5694.0,0
6066.0,0
5678.0,0
5687.0,0
5512.0,0
5494.0,0
5436.0,0
5729.0,0
138.0,0
5392.0,0
4849.0,0
1410.0,0
1688.0,0
2060.0,0
2311.0,0
4535.0,0
4560.0,0
4882.0,0
5382.0,0
4903.0,0
4950.0,0
5248.0,0
5356.0,0
5378.0,0
5381.0,0
5098.0,0
